ARRIVAL_DATETIME,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLATION_REASON,AIRLINE_DELAY
2015-01-01 11:00:00,DFW,ATL,Weather,
2015-01-01 15:00:00,DFW,ATL,Weather,
2015-01-02 14:00:00,BTR,ATL,Weather,
2015-01-02 17:00:00,BTR,ATL,Weather,
2015-01-03 10:00:00,MCI,ATL,Weather,
2015-01-03 11:00:00,MCI,ATL,Weather,
2015-01-03 12:00:00,VPS,ATL,Weather,
2015-01-03 12:00:00,ROA,ATL,Weather,
2015-01-03 20:00:00,BTR,ATL,Weather,
2015-01-03 20:00:00,HPN,ATL,Weather,
2015-01-03 19:00:00,TLH,ATL,Weather,
2015-01-03 19:00:00,ROA,ATL,Weather,
2015-01-03 22:00:00,HPN,ATL,Weather,
2015-01-04 08:00:00,BTR,ATL,Weather,
2015-01-04 18:00:00,CRW,ATL,Weather,
2015-01-06 09:00:00,PIA,ATL,Weather,
2015-01-06 09:00:00,BMI,ATL,Weather,
2015-01-06 09:00:00,MLI,ATL,Weather,
2015-01-06 10:00:00,SHV,ATL,Weather,
2015-01-06 11:00:00,DCA,ATL,Weather,
2015-01-06 13:00:00,PHL,ATL,Weather,
2015-01-06 13:00:00,BWI,ATL,Weather,
2015-01-06 15:00:00,EWR,ATL,Weather,
2015-01-07 19:00:00,ORD,ATL,Weather,
2015-01-08 11:00:00,MDW,ATL,Weather,
2015-01-08 18:00:00,MDW,ATL,Weather,
2015-01-08 21:00:00,MDW,ATL,Weather,
2015-01-09 15:00:00,LGA,ATL,Weather,
2015-01-10 10:00:00,GRK,ATL,Weather,
2015-01-10 10:00:00,AUS,ATL,Weather,
2015-01-12 08:00:00,DCA,ATL,Weather,
2015-01-12 09:00:00,PHL,ATL,Weather,
2015-01-12 09:00:00,SBN,ATL,Weather,
2015-01-12 13:00:00,ORD,ATL,Weather,
2015-01-12 13:00:00,ABY,ATL,Weather,
2015-01-12 16:00:00,LGA,ATL,Weather,
2015-01-12 17:00:00,TLH,ATL,Weather,
2015-01-12 18:00:00,PNS,ATL,Weather,
2015-01-12 19:00:00,ORD,ATL,Weather,
2015-01-12 18:00:00,CMH,ATL,Weather,
2015-01-12 19:00:00,BMI,ATL,Weather,
2015-01-12 20:00:00,SGF,ATL,Weather,
2015-01-12 19:00:00,VLD,ATL,Weather,
2015-01-12 21:00:00,PVD,ATL,Weather,
2015-01-12 21:00:00,PNS,ATL,Weather,
2015-01-13 08:00:00,VPS,ATL,Weather,
2015-01-13 07:00:00,SAV,ATL,Weather,
2015-01-13 07:00:00,VLD,ATL,Weather,
2015-01-13 07:00:00,ABY,ATL,Weather,
2015-01-13 08:00:00,EWN,ATL,Weather,
2015-01-13 08:00:00,SAV,ATL,Weather,
2015-01-13 09:00:00,ECP,ATL,Weather,
2015-01-13 09:00:00,CHS,ATL,Weather,
2015-01-13 10:00:00,VPS,ATL,Weather,
2015-01-13 09:00:00,GNV,ATL,Weather,
2015-01-13 10:00:00,CHS,ATL,Weather,
2015-01-14 08:00:00,DCA,ATL,Weather,
2015-01-14 08:00:00,OAJ,ATL,Weather,
2015-01-14 11:00:00,BWI,ATL,Weather,
2015-01-14 12:00:00,MCO,ATL,Weather,
2015-01-14 15:00:00,IAH,ATL,Weather,
2015-01-20 21:00:00,MDW,ATL,Weather,
2015-01-21 15:00:00,BWI,ATL,Weather,
2015-01-21 19:00:00,PHL,ATL,Weather,
2015-01-23 18:00:00,ROA,ATL,Weather,
2015-01-24 08:00:00,MGM,ATL,Weather,
2015-01-24 08:00:00,HPN,ATL,Weather,
2015-01-24 09:00:00,AVP,ATL,Weather,
2015-01-24 10:00:00,BDL,ATL,Weather,
