YEAR,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_ARRIVAL,CANCELLATION_REASON,AIRLINE_DELAY
2015,01,01,DFW,ATL,1032,Weather,
2015,01,01,DFW,ATL,1445,Weather,
2015,01,02,BTR,ATL,1413,Weather,
2015,01,02,BTR,ATL,1729,Weather,
2015,01,03,MCI,ATL,1005,Weather,
2015,01,03,MCI,ATL,1124,Weather,
2015,01,03,VPS,ATL,1140,Weather,
2015,01,03,ROA,ATL,1215,Weather,
2015,01,03,BTR,ATL,1947,Weather,
2015,01,03,HPN,ATL,1949,Weather,
2015,01,03,TLH,ATL,1856,Weather,
2015,01,03,ROA,ATL,1923,Weather,
2015,01,03,HPN,ATL,2155,Weather,
2015,01,04,BTR,ATL,0735,Weather,
2015,01,04,CRW,ATL,1814,Weather,
2015,01,06,PIA,ATL,0858,Weather,
2015,01,06,BMI,ATL,0835,Weather,
2015,01,06,MLI,ATL,0848,Weather,
2015,01,06,SHV,ATL,0940,Weather,
2015,01,06,DCA,ATL,1115,Weather,
2015,01,06,PHL,ATL,1305,Weather,
2015,01,06,BWI,ATL,1315,Weather,
2015,01,06,EWR,ATL,1505,Weather,
2015,01,07,ORD,ATL,1920,Weather,
2015,01,08,MDW,ATL,1100,Weather,
2015,01,08,MDW,ATL,1818,Weather,
2015,01,08,MDW,ATL,2125,Weather,
2015,01,09,LGA,ATL,1440,Weather,
2015,01,10,GRK,ATL,0932,Weather,
2015,01,10,AUS,ATL,0950,Weather,
2015,01,12,DCA,ATL,0810,Weather,
2015,01,12,PHL,ATL,0835,Weather,
2015,01,12,SBN,ATL,0839,Weather,
2015,01,12,ORD,ATL,1249,Weather,
2015,01,12,ABY,ATL,1248,Weather,
2015,01,12,LGA,ATL,1554,Weather,
2015,01,12,TLH,ATL,1650,Weather,
2015,01,12,PNS,ATL,1819,Weather,
2015,01,12,ORD,ATL,1920,Weather,
2015,01,12,CMH,ATL,1810,Weather,
2015,01,12,BMI,ATL,1925,Weather,
2015,01,12,SGF,ATL,2010,Weather,
2015,01,12,VLD,ATL,1905,Weather,
2015,01,12,PVD,ATL,2100,Weather,
2015,01,12,PNS,ATL,2036,Weather,
2015,01,13,VPS,ATL,0734,Weather,
2015,01,13,SAV,ATL,0638,Weather,
2015,01,13,VLD,ATL,0646,Weather,
2015,01,13,ABY,ATL,0650,Weather,
2015,01,13,EWN,ATL,0735,Weather,
2015,01,13,SAV,ATL,0742,Weather,
2015,01,13,ECP,ATL,0929,Weather,
2015,01,13,CHS,ATL,0839,Weather,
2015,01,13,VPS,ATL,0949,Weather,
2015,01,13,GNV,ATL,0858,Weather,
2015,01,13,CHS,ATL,0948,Weather,
2015,01,14,DCA,ATL,0810,Weather,
2015,01,14,OAJ,ATL,0732,Weather,
2015,01,14,BWI,ATL,1055,Weather,
2015,01,14,MCO,ATL,1130,Weather,
2015,01,14,IAH,ATL,1506,Weather,
2015,01,20,MDW,ATL,2125,Weather,
2015,01,21,BWI,ATL,1500,Weather,
2015,01,21,PHL,ATL,1842,Weather,
2015,01,23,ROA,ATL,1814,Weather,
2015,01,24,MGM,ATL,0734,Weather,
2015,01,24,HPN,ATL,0828,Weather,
2015,01,24,AVP,ATL,0856,Weather,
2015,01,24,BDL,ATL,0935,Weather,
2015,01,24,LGA,ATL,0950,Weather,
2015,01,24,BWI,ATL,0910,Weather,
2015,01,24,PHL,ATL,0950,Weather,
2015,01,24,LGA,ATL,1440,Weather,
2015,01,24,LGA,ATL,1554,Weather,
2015,01,26,DCA,ATL,0810,Weather,
2015,01,26,PHL,ATL,1019,Weather,
2015,01,26,ORD,ATL,1431,Weather,
2015,01,26,IAH,ATL,1555,Weather,
2015,01,26,LGA,ATL,1815,Weather,
2015,01,26,BDL,ATL,1814,Weather,
2015,01,26,HPN,ATL,1756,Weather,
2015,01,26,PHL,ATL,1810,Weather,
2015,01,26,LGA,ATL,1957,Weather,
2015,01,26,HPN,ATL,1950,Weather,
2015,01,26,LGA,ATL,2017,Weather,
2015,01,26,JFK,ATL,2023,Weather,
2015,01,26,LGA,ATL,2054,Weather,
2015,01,26,EWR,ATL,2055,Weather,
2015,01,26,PVD,ATL,2100,Weather,
2015,01,26,LGA,ATL,2120,Weather,
2015,01,26,LGA,ATL,2146,Weather,
2015,01,26,LGA,ATL,2147,Weather,
2015,01,26,LGA,ATL,2222,Weather,
2015,01,26,EWR,ATL,2211,Weather,
2015,01,26,LGA,ATL,2252,Weather,
2015,01,26,PHL,ATL,2240,Weather,
2015,01,27,BDL,ATL,0840,Weather,
2015,01,27,ALB,ATL,0904,Weather,
2015,01,27,BOS,ATL,0912,Weather,
2015,01,27,LGA,ATL,0844,Weather,
2015,01,27,HPN,ATL,0828,Weather,
2015,01,27,TTN,ATL,0819,Weather,
2015,01,27,BOS,ATL,0920,Weather,
2015,01,27,PHL,ATL,0835,Weather,
2015,01,27,JFK,ATL,0845,Weather,
2015,01,27,BDL,ATL,0859,Weather,
2015,01,27,LGA,ATL,0915,Weather,
2015,01,27,EWR,ATL,0918,Weather,
2015,01,27,EWR,ATL,0916,Weather,
2015,01,27,ABE,ATL,0904,Weather,
2015,01,27,PVD,ATL,0944,Weather,
2015,01,27,PWM,ATL,1012,Weather,
2015,01,27,MHT,ATL,1008,Weather,
2015,01,27,LGA,ATL,0942,Weather,
2015,01,27,LGA,ATL,0936,Weather,
2015,01,27,BOS,ATL,1026,Weather,
2015,01,27,BDL,ATL,1011,Weather,
2015,01,27,HPN,ATL,1001,Weather,
2015,01,27,EWR,ATL,1025,Weather,
2015,01,27,PHL,ATL,1019,Weather,
2015,01,27,LGA,ATL,1051,Weather,
2015,01,27,DCA,ATL,1009,Weather,
2015,01,27,BOS,ATL,1127,Weather,
2015,01,27,EWR,ATL,1103,Weather,
2015,01,27,JFK,ATL,1113,Weather,
2015,01,27,JFK,ATL,1111,Weather,
2015,01,27,PHL,ATL,1112,Weather,
2015,01,27,LGA,ATL,1200,Weather,
2015,01,27,EWR,ATL,1144,Weather,
2015,01,27,LGA,ATL,1215,Weather,
2015,01,27,PHL,ATL,1213,Weather,
2015,01,27,LGA,ATL,1238,Weather,
2015,01,27,LGA,ATL,1255,Weather,
2015,01,27,HPN,ATL,1242,Weather,
2015,01,27,BDL,ATL,1300,Weather,
2015,01,27,EWR,ATL,1310,Weather,
2015,01,27,PHL,ATL,1305,Weather,
2015,01,27,LGA,ATL,1347,Weather,
2015,01,27,BOS,ATL,1410,Weather,
